Rank , Code , Company, Price , 1 Day , 1 Month , 1 Year , Sector , Mkt Cap
132, AAI, Alcoa Corporation, $79.00, -1.26%, +44.08%, +28.35%, Materials, $4.54B
2105, AAJ, Aruma Resources Ltd, $0.015, 0.00%, -16.67%, +36.36%, Materials, $6.19M
1274, AAL, Alfabs Australia Ltd, $0.405, -1.22%, -7.96%, +5.20%, Industrials, $53.87M
1484, AAM, Aumega Metals Ltd, $0.041, +10.81%, +13.89%, 0.00%, Materials, $32.36M
1715, AAP, Australian Agricultural Projects Ltd, $0.05, 0.00%, -3.85%, +16.28%, Consumer Staples, $18.43M
559, AAR, Astral Resources NL, $0.265, +6.00%, +35.90%, +76.67%, Materials, $474.76M
372, AASF, Airlie Australian Share Fund - Active ETF, $3.84, -0.52%, +3.23%, -1.03%, Financials, $1.01B
1496, AAU, Antilles Gold Ltd, $0.01, +5.26%, +25.00%, +150.00%, Materials, $31.07M
299, ABB, Aussie Broadband Ltd, $5.02, -0.40%, +1.41%, +42.21%, Communication Services, $1.47B
2259, ABE, Australian Bond Exchange Holdings Ltd, $0.024, 0.00%, -11.11%, -20.00%, Financials, $3.11M
353, ABG, Abacus Group, $1.24, 0.00%, +6.44%, +3.77%, Real Estate, $1.11B
2120, ABR, Albright Metals Ltd, $0.004, 0.00%, 0.00%, 0.00%, Materials, $5.94M
1369, ABV, Advanced Braking Technology Ltd, $0.105, -4.55%, -4.55%, +25.00%, Consumer Discretionary, $41.77M
1581, ABX, ABX Group Ltd, $0.069, 0.00%, -29.59%, +115.63%, Materials, $25.04M
1010, ABY, Adore Beauty Group Ltd, $1.20, 0.00%, +6.20%, +31.15%, Consumer Discretionary, $112.75M
468, ACDC, Global X Battery Tech & Lithium ETF, $140.75, -0.52%, +8.69%, +61.10%, Financials, $681.71M
734, ACE, Acusensus Ltd, $1.69, +5.63%, -3.43%, +48.25%, Information Technology, $274.1M
686, ACF, Acrow Ltd, $1.035, +0.98%, -2.36%, -2.36%, Industrials, $322.28M
535, ACL, Australian Clinical Labs Ltd, $2.69, -1.10%, -0.74%, -22.48%, Health Care, $519.9M
2089, ACM, Australian Critical Minerals Ltd, $0.08, 0.00%, +6.67%, -12.09%, Materials, $6.52M
1718, ACP, Audalia Resources Ltd, $0.022, 0.00%, -18.52%, +10.00%, Materials, $18.31M
1110, ACQ, Acorn Capital Investment Fund Ltd, $0.94, +1.08%, +5.62%, +13.25%, Financials, $84.46M
2109, ACR, ACRUX Ltd, $0.015, 0.00%, -6.25%, -54.55%, Health Care, $6.16M
1621, ACS, Accent Resources NL, $0.046, 0.00%, +666.67%, +666.67%, Materials, $22.52M
1752, ACU, Acumentis Group Ltd, $0.075, 0.00%, 0.00%, -3.85%, Real Estate, $16.72M
861, ACW, Actinogen Medical Ltd, $0.056, -5.09%, +3.70%, +133.33%, Health Care, $178.24M
1827, AD1, Adneo Ltd, $0.035, 0.00%, -16.67%, -30.00%, Communication Services, $13.32M
659, AD8, Audinate Group Ltd, $4.15, -1.19%, +9.79%, -43.84%, Information Technology, $349.96M
2228, ADC, Acdc Metals Ltd, $0.052, 0.00%, -17.46%, +1.96%, Materials, $3.9M
1838, ADD, Adavale Resources Ltd, $0.048, -2.04%, -4.00%, +20.00%, Materials, $12.92M
1748, ADEF, Apostle Dundas GBL EQTY Fund - Class D Active ETF, $6.27, -0.16%, +0.97%, +3.64%, Financials, $16.87M
1635, ADG, Adelong Gold Ltd, $0.009, +6.25%, -15.00%, +112.50%, Materials, $21.82M
700, ADH, Adairs Ltd, $1.78, -0.84%, -1.11%, -33.33%, Consumer Discretionary, $315.66M
1234, ADN, Andromeda Metals Ltd, $0.013, 0.00%, +8.33%, +85.71%, Materials, $60.1M
1326, ADO, Anteotech Ltd, $0.017, 0.00%, -5.56%, -5.56%, Materials, $46.37M
1850, ADR, Adherium Ltd, $0.005, +66.67%, +25.00%, -58.33%, Health Care, $12.56M
2128, ADS, Adslot Ltd, $0.001, 0.00%, 0.00%, 0.00%, Information Technology, $5.8M
1151, ADV, Ardiden Ltd, $0.35, +2.94%, +16.67%, +150.00%, Materials, $75.22M
1704, ADX, ADX Energy Ltd, $0.026, +8.33%, +10.64%, -16.13%, Energy, $18.74M
1767, ADY, Admiralty Resources NL, $0.006, 0.00%, 0.00%, 0.00%, Materials, $15.78M
1223, AEBD, Betashares Ethical Australian Composite Bond ETF, $50.62, +0.12%, -1.38%, +0.10%, Financials, $61.76M
889, AEE, Aura Energy Ltd, $0.18, +2.86%, +2.86%, +38.46%, Energy, $161.62M
510, AEF, Australian Ethical Investment Ltd, $5.12, -1.35%, -16.20%, -4.12%, Financials, $582.81M
1818, AEI, Aeris Environmental Ltd, $0.055, -3.51%, -8.33%, -29.49%, Industrials, $13.56M
406, AEL, Amplitude Energy Ltd, $2.92, -0.68%, +11.03%, +41.86%, Energy, $869.98M
789, AEM, Advanced Energy Minerals Ltd, $0.61, +15.09%, 0.00%, 0.00%, Materials, $223.18M
2142, AER, Aeeris Ltd, $0.071, 0.00%, 0.00%, +18.33%, Communication Services, $5.55M
683, AESG, iShares Global Aggregate Bond Esg (Aud Hedged) ETF, $97.71, +0.19%, +0.05%, +1.20%, Financials, $326.85M
1027, AEU, Atomic Eagle Ltd, $0.285, -5.00%, +1935.71%, +1935.71%, Materials, $108.6M
1457, AEV, Avenira Ltd, $0.008, 0.00%, +14.29%, 0.00%, Materials, $34.07M
1411, AFA, Asf Group Ltd, $0.048, 0.00%, -2.04%, +860.00%, Financials, $38.04M
511, AFG, Australian Finance Group Ltd, $2.14, -0.93%, -4.89%, +41.72%, Financials, $581.57M
67, AFI, Australian Foundation Investment Company Ltd, $7.15, -0.28%, +2.00%, -3.12%, Financials, $8.96B
1753, AFL, Af Legal Group Ltd, $0.18, +2.86%, +16.13%, +24.14%, Industrials, $16.69M
691, AFP, Aft Pharmaceuticals Ltd, $3.06, 0.00%, +2.00%, +20.00%, Health Care, $320.89M
1220, AGC, Australian Gold and Copper Ltd, $0.23, +2.22%, +31.43%, +43.75%, Materials, $61.93M
1046, AGD, Austral Gold Ltd, $0.165, -5.71%, +65.00%, +511.11%, Materials, $102.49M
1034, AGE, Alligator Energy Ltd, $0.024, -4.00%, +9.09%, -25.00%, Energy, $106.49M
2307, AGGG, iShares Core Global Aggregate Bond (Aud HDG) ETF, $99.72, 0.00%, +0.14%, -0.10%, Financials, $997.2K
667, AGI, Ainsworth Game Technology Ltd, $1.01, 0.00%, +0.50%, +24.69%, Consumer Discretionary, $340.16M
106, AGL, AGL Energy Ltd, $9.31, +0.22%, +3.44%, -15.52%, Utilities, $6.26B
1450, AGN, Argenica Therapeutics Ltd, $0.27, -3.57%, +20.00%, -58.14%, Health Care, $34.68M
1410, AGR, Aguia Resources Ltd, $0.023, 0.00%, +27.78%, -36.11%, Materials, $38.12M
361, AGVT, Betashares Australian Government Bond ETF, $41.13, -0.05%, -2.07%, -0.56%, Financials, $1.06B
627, AGX1, Antipodes Global Value Active ETF, $6.92, -0.58%, +3.13%, +10.02%, Financials, $377.14M
834, AGY, Argosy Minerals Ltd, $0.125, +4.17%, +78.57%, +346.43%, Materials, $192.93M
925, AHC, Austco Healthcare Ltd, $0.385, 0.00%, -2.53%, +37.50%, Health Care, $144.28M
1870, AHE, Adheris Health Ltd, $0.019, 0.00%, -5.00%, -91.36%, Health Care, $12.09M
1563, AHF, Australian Dairy Nutritionals Ltd, $0.036, 0.00%, -1.39%, -40.83%, Consumer Staples, $26.39M
1418, AHK, Ark Mines Ltd, $0.515, -8.04%, -13.45%, +267.86%, Materials, $37.1M
1119, AHL, Adrad Holdings Ltd, $1.01, -0.98%, +12.22%, +50.75%, Consumer Discretionary, $82.13M
1765, AHN, Athena Resources Ltd, $0.007, +16.67%, +16.67%, +75.00%, Materials, $15.86M
893, AHX, Apiam Animal Health Ltd, $0.87, 0.00%, +1.75%, +123.08%, Health Care, $160.98M
1344, AI1, Adisyn Ltd, $0.061, -4.69%, +7.02%, -16.44%, Information Technology, $44.26M
52, AIA, Auckland International Airport Ltd, $7.18, +0.14%, +5.28%, -6.14%, Industrials, $12.17B
587, AIH, Advanced Innergy Holdings Ltd, $1.00, +1.01%, +5.26%, 0.00%, Industrials, $422.34M
1083, AII, Almonty Industries Inc, $13.16, -1.57%, +50.75%, +902.67%, Materials, $90.07M
897, AIM, Ai-Media Technologies Ltd, $0.76, +0.66%, +2.01%, -17.84%, Industrials, $158.7M
1388, AINF, Global X Ai Infrastructure ETF, $14.80, +0.20%, +6.63%, +47.56%, Financials, $39.96M
1138, AIQ, Alternative Investment Trust, $1.47, 0.00%, -0.34%, +9.64%, Financials, $78.4M
484, AIS, Aeris Resources Ltd, $0.545, 0.00%, +34.57%, +220.59%, Materials, $652.46M
2224, AIV, Activex Ltd, $0.015, 0.00%, -25.00%, +87.50%, Materials, $3.98M
272, AIZ, Air New Zealand Ltd, $0.505, 0.00%, -6.48%, -5.61%, Industrials, $1.63B
1809, AJL, AJ Lucas Group Ltd, $0.01, 0.00%, -4.76%, +42.86%, Industrials, $13.76M
1958, AJX, Alexium International Group Ltd, $0.006, -14.29%, -1.99%, -46.91%, Materials, $9.83M
1648, AKA, Aureka Ltd, $0.16, +3.23%, +3.23%, +14.29%, Materials, $21.13M
1787, AKG, Academies Australasia Group Ltd, $0.11, 0.00%, -8.33%, -8.33%, Consumer Discretionary, $14.59M
960, AKM, Aspire Mining Ltd, $0.255, -5.56%, +2.00%, +2.00%, Materials, $129.45M
2239, AKN, Auking Mining Ltd, $0.004, 0.00%, -20.00%, -20.00%, Materials, $3.6M
1789, AKO, Akora Resources Ltd, $0.084, 0.00%, +5.00%, -15.07%, Materials, $14.57M
854, AKP, Audio Pixels Holdings Ltd, $6.20, 0.00%, 0.00%, 0.00%, Consumer Discretionary, $181.1M
1069, AL3, AML3D Ltd, $0.17, 0.00%, -5.56%, -2.86%, Industrials, $93.93M
1076, ALA, Arovella Therapeutics Ltd, $0.077, 0.00%, -9.41%, -54.71%, Health Care, $92.49M
2007, ALB, Albion Resources Ltd, $0.059, +3.51%, +9.26%, +43.90%, Materials, $8.39M
933, ALC, Alcidion Group Ltd, $0.105, +7.14%, +7.14%, +77.97%, Health Care, $141.01M
85, ALD, Ampol Ltd, $32.23, +0.03%, +5.12%, +17.20%, Energy, $7.68B
1610, ALFA, Vaneck Australian Long Short Complex ETF, $21.59, -1.10%, +4.05%, +4.20%, Financials, $23M
576, ALI, Argo Global Listed Infrastructure Ltd, $2.52, 0.00%, +5.00%, +11.01%, Financials, $448M
262, ALK, Alkane Resources Ltd, $1.30, +1.96%, +44.44%, +157.43%, Materials, $1.78B
17, ALL, Aristocrat Leisure Ltd, $57.55, -1.22%, -1.13%, -16.32%, Consumer Discretionary, $35.5B
1899, ALM, Alma Metals Ltd, $0.006, -20.00%, 0.00%, 0.00%, Energy, $11.2M
1987, ALPH, Schroder Global Equity Alpha Fund - Active ETF, $11.36, +0.27%, +1.43%, +13.60%, Financials, $8.86M
58, ALQ, Als Ltd, $22.21, -0.31%, +4.03%, +43.85%, Industrials, $11.27B
904, ALR, Altair Minerals Ltd, $0.026, -3.70%, +30.00%, +940.00%, Materials, $155.29M
930, ALTB, iShares 15+ Year Australian Government Bond ETF, $95.94, +0.63%, -2.27%, -2.00%, Financials, $141.72M
1744, ALV, Alvo Minerals Ltd, $0.07, -4.11%, +48.94%, +72.95%, Materials, $17.03M
89, ALX, Atlas Arteria, $4.96, +1.02%, -0.40%, +6.44%, Industrials, $7.2B
1834, ALY, Alchemy Resources Ltd, $0.011, 0.00%, +37.50%, +57.14%, Materials, $13.07M
2179, AM5, Antares Metals Ltd, $0.008, +7.14%, -16.67%, -37.50%, Materials, $4.83M
2210, AM7, Arcadia Minerals Ltd, $0.036, +5.88%, -14.29%, +89.47%, Materials, $4.23M
625, AMA, AMA Group Ltd, $0.79, -0.63%, -4.24%, +41.07%, Industrials, $378.07M
70, AMC, Amcor Plc, $12.42, -1.19%, -4.54%, -17.97%, Materials, $8.67B
1732, AMD, Arrow Minerals Ltd, $0.02, 0.00%, 0.00%, -50.00%, Materials, $17.56M
694, AMH, Amcil Ltd, $1.01, 0.00%, -2.42%, -15.13%, Financials, $318.87M
584, AMI, Aurelia Metals Ltd, $0.255, 0.00%, +21.43%, +50.00%, Materials, $431.61M
1582, AMN, Agrimin Ltd, $0.065, 0.00%, -12.16%, -48.00%, Materials, $25.02M
1794, AMO, Ambertech Ltd, $0.15, 0.00%, -9.09%, -6.25%, Information Technology, $14.31M
131, AMP, AMP Ltd, $1.82, -0.82%, +11.32%, +11.66%, Financials, $4.61B
1405, AMS, Atomos Ltd, $0.026, -10.35%, -10.35%, +271.43%, Consumer Discretionary, $38.55M
1729, AMU, American Uranium Ltd, $0.165, +10.00%, +6.45%, +37.50%, Materials, $17.67M
1601, AMX, Aerometrex Ltd, $0.25, 0.00%, -9.09%, -13.79%, Industrials, $23.75M
2268, AN1, Anagenics Ltd, $0.005, 0.00%, 0.00%, -37.50%, Consumer Staples, $2.85M
290, AN3PI, Australia and New Zealand Banking Group Ltd, $103.04, -0.45%, -0.65%, -0.99%, N/A, $1.55B
315, AN3PJ, Australia and New Zealand Banking Group Ltd, $103.07, +0.07%, -0.30%, +0.15%, N/A, $1.35B
285, AN3PK, Australia and New Zealand Banking Group Ltd, $103.81, +0.03%, +0.20%, +0.49%, N/A, $1.56B
259, AN3PL, Australia and New Zealand Banking Group Ltd, $104.74, -0.15%, -0.34%, +0.10%, N/A, $1.78B
950, ANG, Austin Engineering Ltd, $0.215, +2.38%, +7.50%, -57.84%, Industrials, $133.91M
124, ANN, Ansell Ltd, $35.39, -0.51%, -1.26%, +5.17%, Health Care, $5.09B
1248, ANO, Advance Zinctek Ltd, $0.92, +0.55%, -23.01%, +20.26%, Materials, $57.63M
2233, ANR, Anatara Lifesciences Ltd, $0.012, -7.69%, 0.00%, -71.43%, Health Care, $3.76M
1684, ANX, ANAX Metals Ltd, $0.018, +5.88%, +80.00%, +50.00%, Materials, $19.84M
5, ANZ, ANZ Group Holdings Ltd, $36.30, -1.01%, +4.01%, +26.31%, Financials, $109.42B
2225, AOA, Ausmon Resources Ltd, $0.003, 0.00%, 0.00%, +50.00%, Materials, $3.94M
1216, AOF, Australian Unity Office Fund, $0.39, +1.30%, +2.63%, -63.72%, Real Estate, $64.11M
2256, AOK, Australian Oil Company Ltd, $0.002, 0.00%, -20.00%, 0.00%, Energy, $3.15M
2047, AON, Apollo Minerals Ltd, $0.008, 0.00%, 0.00%, -42.86%, Materials, $7.43M
343, AOV, Amotiv Ltd, $8.76, -1.02%, +3.18%, -16.41%, Consumer Discretionary, $1.17B
51, APA, APA Group, $9.34, -0.11%, +1.08%, +28.65%, Utilities, $12.28B
2273, APC, APC Minerals Ltd, $0.008, 0.00%, +47.46%, +45.84%, Materials, $2.58M
2298, APCR, APC Minerals Ltd, $0.004, 0.00%, +33.33%, +300.00%, N/A, $1.38M
91, APE, Eagers Automotive Ltd, $24.60, -0.81%, -13.68%, +115.50%, Consumer Discretionary, $6.95B
1948, APL, Associate Global Partners Ltd, $0.175, 0.00%, +12.90%, +16.67%, Financials, $10.07M
942, APW, Aims Property Securities Fund, $3.10, 0.00%, -2.21%, +83.43%, Real Estate, $138.01M
802, APX, Appen Ltd, $0.80, -0.62%, +23.08%, -63.47%, Information Technology, $212.49M
325, APZ, Aspen Group, $5.57, +2.39%, +6.71%, +132.08%, Real Estate, $1.27B
2195, AQC, Australian Pacific Coal Ltd, $0.007, 0.00%, 0.00%, -93.50%, Materials, $4.55M
1152, AQD, Ausquest Ltd, $0.047, -4.08%, +27.03%, +487.50%, Materials, $75.21M
1017, AQI, Alicanto Minerals Ltd, $0.12, -4.00%, +192.68%, +215.79%, Materials, $111.39M
413, AQLT, Betashares Australian Quality ETF, $34.16, -1.39%, +2.86%, +9.35%, Financials, $845.68M
1317, AQN, Aquirian Ltd, $0.45, +7.14%, +4.65%, +150.00%, Industrials, $47.69M
2116, AQX, Alice QUEEN Ltd, $0.004, -11.11%, -20.00%, -42.86%, Materials, $6.03M
819, AQZ, Alliance Aviation Services Ltd, $1.245, -0.40%, -0.80%, -56.77%, Industrials, $200.48M
1128, AR1, Austral Resources Australia Ltd, $0.047, 0.00%, +6.82%, -70.63%, Materials, $79.84M
1342, AR3, Australian Rare EARTHS Ltd, $0.20, +2.56%, -9.09%, +111.55%, Materials, $44.46M
1261, AR9, Archtis Ltd, $0.115, -8.00%, +21.05%, +94.69%, Information Technology, $55.41M
1052, ARA, Ariadne Australia Ltd, $0.51, 0.00%, +2.00%, -4.67%, Industrials, $98.98M
192, ARB, ARB Corporation Ltd, $31.84, -0.25%, -2.21%, -22.32%, Consumer Discretionary, $2.66B
2071, ARC, ARC Funds Ltd, $0.099, 0.00%, -10.00%, +13.79%, Financials, $6.86M
1202, ARD, Argent Minerals Ltd, $0.039, +2.63%, +44.44%, +129.41%, Materials, $65.57M
302, ARF, Arena REIT, $3.61, -2.17%, -1.37%, -8.14%, Real Estate, $1.46B
92, ARG, Argo Investments Ltd, $9.12, -0.98%, +1.56%, +1.90%, Financials, $6.92B
1451, ARI, Arika Resources Ltd, $0.031, 0.00%, +6.90%, +14.82%, Materials, $34.61M
967, ARL, Ardea Resources Ltd, $0.605, +0.83%, +31.52%, +95.16%, Materials, $127.54M
804, ARMR, Betashares Global Defence ETF, $24.97, -0.20%, +3.61%, +46.11%, Financials, $212.35M
1086, ARN, Aldoro Resources Ltd, $0.39, +4.00%, -16.13%, +30.00%, Materials, $88.34M
809, ARR, American Rare EARTHS Ltd, $0.365, -2.67%, -8.75%, +37.74%, Materials, $209.37M
894, ART, Airtasker Ltd, $0.33, +1.54%, +6.45%, -18.52%, Communication Services, $160.68M
331, ARU, Arafura Rare EARTHS Ltd, $0.26, -1.89%, +1.96%, +126.09%, Materials, $1.21B
1459, ARV, Artemis Resources Ltd, $0.009, +12.50%, 0.00%, +5.88%, Materials, $33.94M
761, ARX, Aroa Biosurgery Ltd, $0.71, +1.43%, +5.97%, -4.05%, Health Care, $244.97M
895, AS1, Asara Resources Ltd, $0.10, 0.00%, +36.99%, +455.56%, Materials, $160.32M
2032, AS2, Askari Metals Ltd, $0.012, +9.09%, -14.29%, +13.92%, Materials, $7.79M
2296, ASAO, ABRDN Sust Asian Opportunities Active ETF, $1.355, -0.73%, 0.00%, +17.32%, Financials, $1.41M
184, ASB, Austal Ltd, $6.83, -2.57%, +8.24%, +121.75%, Industrials, $2.88B
432, ASG, Autosports Group Ltd, $3.90, -0.51%, -9.93%, +122.86%, Consumer Discretionary, $790.46M
1529, ASH, Ashley Services Group Ltd, $0.20, 0.00%, -4.76%, +21.21%, Industrials, $28.8M
398, ASIA, Betashares Asia Technology Tigers ETF, $14.08, -0.57%, +3.15%, +36.70%, Financials, $901.49M
231, ASK, Abacus Storage King, $1.545, +0.33%, +10.75%, +29.83%, Real Estate, $2.03B
542, ASL, Andean Silver Ltd, $2.45, -1.61%, +49.85%, +206.25%, Materials, $509.82M
860, ASM, Australian Strategic Materials Ltd, $0.665, +6.40%, +9.02%, +35.71%, Materials, $178.26M
1028, ASN, Anson Resources Ltd, $0.067, +4.69%, -15.19%, +19.64%, Materials, $108.44M
1605, ASP, Aspermont Ltd, $0.008, 0.00%, 0.00%, +33.33%, Communication Services, $23.27M
2166, ASQ, Australian Silica Quartz Group Ltd, $0.018, 0.00%, -10.00%, -21.74%, Materials, $5.07M
1461, ASV, Asset Vision Co Ltd, $0.045, 0.00%, +4.65%, +125.00%, Information Technology, $33.8M
64, ASX, ASX Ltd, $52.27, +0.12%, -9.06%, -20.84%, Financials, $10.16B
1521, AT1, Atomo Diagnostics Ltd, $0.037, +5.71%, +32.14%, +94.74%, Health Care, $29.98M
937, AT4, American Tungsten & Antimony Ltd, $0.11, -4.35%, +4.76%, +182.05%, Materials, $139.59M
748, ATA, Atturra Ltd, $0.69, +4.55%, -8.00%, -33.33%, Information Technology, $256.61M
1175, ATC, Altech Batteries Ltd, $0.026, +4.00%, +4.00%, -40.91%, Materials, $69.39M
608, ATEC, Betashares S&P/ASX Australian Technology ETF, $26.25, -0.57%, -2.16%, -11.77%, Financials, $395.56M
1142, ATG, Articore Group Ltd, $0.265, 0.00%, -3.64%, 0.00%, Consumer Discretionary, $77.79M
1077, ATH, Alterity Therapeutics Ltd, $0.009, 0.00%, -5.56%, +41.67%, Health Care, $92.44M
2303, ATM, Aneka Tambang (Persero) TBK (PT), $0.85, 0.00%, -15.00%, -9.57%, Materials, $1.11M
1063, ATOM, Global X Uranium ETF, $23.70, -0.42%, +6.28%, +54.20%, Financials, $95.92M
1105, ATP, Atlas Pearls Ltd, $0.195, +2.63%, +8.33%, +34.48%, Consumer Discretionary, $85.61M
730, ATR, Astron Ltd, $0.665, +0.76%, -14.74%, +116.26%, Materials, $280.53M
1706, ATS, Australis Oil & Gas Ltd, $0.014, -6.67%, 0.00%, +75.00%, Energy, $18.67M
2084, ATT, Altitude Minerals Ltd, $0.019, -9.52%, -13.64%, -36.28%, Materials, $6.59M
1670, ATV, Activeport Group Ltd, $0.018, 0.00%, -33.33%, -2.91%, Information Technology, $20.47M
1215, ATX, Amplia Therapeutics Ltd, $0.125, +4.17%, +8.70%, +45.35%, Health Care, $64.13M
1890, AU1, The Agency Group Australia Ltd, $0.026, 0.00%, -10.35%, +30.00%, Real Estate, $11.43M
1929, AUA, Audeara Ltd, $0.058, -1.70%, +114.82%, +13.73%, Consumer Discretionary, $10.49M
157, AUB, AUB Group Ltd, $30.55, -0.94%, -19.14%, -1.64%, Financials, $3.56B
505, AUC, Ausgold Ltd, $1.16, -1.28%, +48.72%, +182.93%, Materials, $589.96M
1485, AUDS, Betashares Strong Australian Dollar Complex ETF, $6.25, +1.63%, +9.27%, +17.48%, Financials, $32.32M
752, AUE, Aurum Resources Ltd, $0.73, +2.10%, +40.39%, +128.13%, Materials, $252.55M
2083, AUG, Augustus Minerals Ltd, $0.032, +3.23%, -27.27%, -30.44%, Materials, $6.6M
307, AUI, Australian United Investment Company Ltd, $11.35, +0.71%, +4.80%, +9.56%, Financials, $1.4B
1888, AUK, Aumake Ltd, $0.003, 0.00%, 0.00%, -40.00%, Consumer Discretionary, $11.54M
928, AUMF, iShares Edge MSCI Australia Multifactor ETF, $39.81, -0.54%, +4.35%, +14.53%, Financials, $143.05M
1572, AUQ, Alara Resources Ltd, $0.032, 0.00%, -3.03%, -13.51%, Materials, $25.7M
1500, AUR, Auris Minerals Ltd, $0.024, -4.00%, +14.29%, +300.00%, Materials, $30.88M
1472, AUST, Betashares Managed Risk Australian Shares Complex ETF, $18.07, 0.00%, +3.32%, +3.43%, Financials, $33.3M
2023, AUV, Auravelle Metals Ltd, $0.012, 0.00%, -20.00%, -33.33%, Materials, $7.97M
1503, AUZ, Australian Mines Ltd, $0.015, +3.45%, +7.14%, +50.00%, Materials, $30.77M
989, AV1, Adveritas Ltd, $0.13, 0.00%, -13.33%, +44.44%, Information Technology, $120.15M
1686, AVA, AVA Risk Group Ltd, $0.068, +4.62%, +25.93%, -47.69%, Information Technology, $19.77M
1876, AVD, Avada Group Ltd, $0.14, 0.00%, -12.50%, -71.13%, Industrials, $11.89M
